gene_id	protein_id
G4P62_017687	KAF7231510.1
G4P62_020234	KAF7231789.1
G4P62_017958	KAF7231532.1
G4P62_008436	KAF7231480.1
G4P62_019264	KAF7231696.1
G4P62_019417	KAF7231715.1
G4P62_019417	KAF7231716.1
G4P62_019586	KAF7231731.1
G4P62_019609	KAF7231736.1
G4P62_019834	KAF7231759.1
G4P62_019227	KAF7231692.1
G4P62_019622	KAF7231738.1
G4P62_019623	KAF7231739.1
G4P62_019592	KAF7231732.1
G4P62_019871	KAF7231760.1
G4P62_019601	KAF7231735.1
G4P62_019833	KAF7231755.1
G4P62_019833	KAF7231756.1
G4P62_019833	KAF7231757.1
G4P62_019833	KAF7231758.1
G4P62_019877	KAF7231761.1
G4P62_019331	KAF7231707.1
G4P62_019330	KAF7231705.1
G4P62_019330	KAF7231706.1
G4P62_018180	KAF7231545.1
G4P62_018159	KAF7231543.1
G4P62_018158	KAF7231542.1
G4P62_019395	KAF7231712.1
G4P62_019395	KAF7231713.1
G4P62_018737	KAF7231610.1
G4P62_018737	KAF7231611.1
G4P62_018738	KAF7231612.1
G4P62_018739	KAF7231613.1
G4P62_018740	KAF7231614.1
G4P62_018741	KAF7231615.1
G4P62_018741	KAF7231616.1
G4P62_018741	KAF7231617.1
G4P62_018742	KAF7231618.1
G4P62_018743	KAF7231619.1
G4P62_018744	KAF7231620.1
G4P62_018745	KAF7231621.1
G4P62_018745	KAF7231622.1
G4P62_018745	KAF7231623.1
G4P62_018746	KAF7231624.1
G4P62_018747	KAF7231625.1
G4P62_018747	KAF7231626.1
G4P62_018748	KAF7231627.1
G4P62_018749	KAF7231628.1
G4P62_018749	KAF7231629.1
G4P62_017890	KAF7231527.1
G4P62_017889	KAF7231526.1
G4P62_017888	KAF7231525.1
G4P62_017887	KAF7231524.1
G4P62_018568	KAF7231598.1
G4P62_018567	KAF7231596.1
G4P62_018567	KAF7231597.1
G4P62_018566	KAF7231595.1
G4P62_018565	KAF7231594.1
G4P62_018564	KAF7231593.1
G4P62_018563	KAF7231590.1
G4P62_018563	KAF7231592.1
G4P62_018563	KAF7231591.1
G4P62_019185	KAF7231687.1
G4P62_019184	KAF7231686.1
G4P62_019183	KAF7231685.1
G4P62_019182	KAF7231683.1
G4P62_019182	KAF7231684.1
G4P62_019181	KAF7231681.1
G4P62_019181	KAF7231682.1
G4P62_018752	KAF7231630.1
G4P62_018752	KAF7231631.1
G4P62_018753	KAF7231632.1
G4P62_018754	KAF7231633.1
G4P62_018755	KAF7231634.1
G4P62_018756	KAF7231635.1
G4P62_018756	KAF7231636.1
G4P62_017862	KAF7231517.1
G4P62_017862	KAF7231516.1
G4P62_017862	KAF7231518.1
G4P62_003717	KAF7229775.1
G4P62_003716	KAF7229774.1
G4P62_003715	KAF7229773.1
G4P62_003714	KAF7229771.1
G4P62_003714	KAF7229772.1
G4P62_017647	KAF7231506.1
G4P62_017646	KAF7231505.1
G4P62_017645	KAF7231503.1
G4P62_017645	KAF7231504.1
G4P62_017644	KAF7231502.1
